Country,Year,Status,Life expectancy,under five deaths,Adult Mortality,Alcohol,BMI,Polio,Diptheria,HIV,Total expenditure,GDP,Population,Population Density
Japan,2005,Developed,82,4,69,7.99,27.8,0.05,0.02,0.06,8.18,37217.65,128326116,339.51
Japan,2004,Developed,82.1,4,68,7.7,27.4,0.06,0.01,0.07,8.3,37688.72,128204195,339.19
Japan,2003,Developed,81.9,5,72,7.83,26.9,0.07,0.03,0.08,8,3488.399,128058372,338.81
Japan,2002,Developed,81.8,5,76,7.87,23.3,0.11,0.04,0.098,7.85,32289.36,127893078,338.37
Japan,2001,Developed,81.5,5,72,8.03,21.4,0.19,0.05,0.09,7.75,33846.47,127713828,337.89
Japan,2000,Developed,81.1,5,74,7.97,21.2,0.2,0.15,0.1,7.53,38532.49,127524174,337.39
Oman,2015,Developing,76.6,1,99,0.52,24.6,0.01,0.01,0.01,3.48,68.42,4267348,13.79
Oman,2014,Developing,76.4,1,110,0.4,23.5,0.01,0.01,0.012,3.19,80.687,4027260,13.01
Oman,2013,Developing,76.2,1,121,0.46,22.8,0.01,0.02,0.015,2.76,78.556,3764806,12.16
Oman,2012,Developing,76,1,142,0.51,22.3,0.01,0.02,0.017,2.52,76.511,3498029,11.3
Oman,2011,Developing,75.8,1,153,0.54,22,0.01,0.01,0.018,2.49,67.872,3251108,10.5
Oman,2010,Developing,75.6,1,163,0.56,21.8,0.01,0.01,0.02,2.74,56.913,3041434,9.83
Oman,2009,Developing,75.4,1,185,0.56,21.5,0.04,0.02,0.027,2.83,48.388,2876186,9.29
Oman,2008,Developing,75.2,1,192,0.57,21.1,0.04,0.01,0.026,2.1,60.905,2750963,8.89
Oman,2007,Developing,74.9,1,113,0.57,20.6,0.05,0.01,0.03,2.43,42.085,2657158,8.59
Oman,2006,Developing,74.7,1,115,0.58,20.1,0.05,0.02,0.05,2.31,37.216,2580758,8.34
Oman,2005,Developing,74.3,1,118,0.63,29.5,0.05,0.01,0.06,2.59,31.082,2511251,8.11
Oman,2004,Developing,74,1,122,0.61,28.9,0.05,0.01,0.065,2.98,24.764,2445517,7.9
Oman,2003,Developing,73.6,1,127,0.56,28.1,0.05,0.01,0.07,3.17,21.634,2386166,7.71
Oman,2002,Developing,73.3,1,137,0.54,27.3,0.06,0.01,0.071,3.18,20.143,2334858,7.54
Oman,2001,Developing,72.9,1,134,0.55,26.5,0.06,0.01,0.07,3.8,19.452,2294962,7.42
Oman,2000,Developing,72.6,1,138,0.38,25.9,0.06,0.01,0.08,3.7,19.507,2267973,7.33
Republic of Korea,2015,Developing,82.3,2,64,9.15,31.7,0.03,0.02,0.01,7.51,28732.231,50823093,506.41
Republic of Korea,2014,Developing,82,2,66,9.21,31.2,0.03,0.01,0.01,7.37,29249.575,50607907,504.26
Republic of Korea,2013,Developing,81.7,2,68,9.33,30.8,0.03,0.01,0.02,7.2,27182.734,50345717,501.65
Republic of Korea,2012,Developing,81.2,2,69,9.56,30.4,0.03,0.01,0.025,7.1,25466.761,50060639,498.81
Republic of Korea,2011,Developing,81.1,2,72,9.34,30,0.03,0.01,0.026,6.83,25096.264,49786159,496.08
Republic of Korea,2010,Developing,87,2,74,9.23,23.5,0.03,0.06,0.03,6.79,23087.226,49545636,493.68
Republic of Korea,2009,Developing,86,2,75,8.97,22.2,0.03,0.06,0.04,6.66,19143.852,49347461,491.7
Republic of Korea,2008,Developing,83,2,75,9.31,21.3,0.03,0.06,0.04,6.16,21350.428,49182456,490.06
Republic of Korea,2007,Developing,79.8,2,77,9.05,18.2,0.03,0.09,0.05,5.99,24086.41,49034810,488.59
Republic of Korea,2006,Developing,79.4,2,79,8.83,17.7,0.03,0.02,0.06,5.76,21743.477,48880451,487.05
Republic of Korea,2005,Developing,78.7,3,84,9.03,17.2,0.03,0.04,0.06,5.33,19402.503,48701073,485.26
Republic of Korea,2004,Developing,78.2,3,89,9.18,16.7,0.03,0.12,0.07,4.96,16496.12,48493441,483.19
Republic of Korea,2003,Developing,77.6,3,95,9.66,16.2,0.04,0.03,0.08,4.93,14672.857,48260897,480.88
Republic of Korea,2002,Developing,77.1,4,99,9.55,15.7,0.04,0.03,0.09,4.61,13165.066,47999547,478.27
Republic of Korea,2001,Developing,76.7,4,107,11.45,15.2,0.04,0.03,0.1,4.76,11561.248,47706224,475.35
Republic of Korea,2000,Developing,76,4,116,10.33,15,0.05,0.04,0.11,4.23,12256.994,47379241,472.09
Singapore,2015,Developed,83.1,0,55,1.79,33.2,0.03,0.04,0.01,5.07,53629.74,5592152,7777.68
Singapore,2014,Developed,82.9,0,56,1.83,32.9,0.03,0.03,0.013,4.92,56336.72,5525626,7685.15
Singapore,2013,Developed,82.7,0,57,1.83,32.7,0.03,0.03,0.015,4.53,5629.189,5453737,7585.17
Singapore,2012,Developed,82.5,0,59,1.89,32.4,0.03,0.04,0.015,4.22,54431.16,5369476,7467.98
Singapore,2011,Developed,82.2,0,63,1.8,32.1,0.03,0.04,0.018,3.93,53166.68,5263636,7320.77
Singapore,2010,Developed,82,0,61,1.84,31.8,0.03,0.03,0.02,3.96,46569.68,5131172,7136.54
Singapore,2009,Developed,81.7,0,62,1.73,31.5,0.03,0.03,0.021,4.27,38577.56,4966614,6907.67
Singapore,2008,Developed,81.4,0,64,1.7,31.2,0.03,0.03,0.022,3.91,39721.48,4775804,6642.29
Singapore,2007,Developed,81.1,0,65,1.6,30.9,0.03,0.05,0.025,3.46,39223.58,4578630,6368.05
Singapore,2006,Developed,87,0,66,1.55,30.5,0.03,0.04,0.03,3.66,33579.86,4402331,6122.85
Singapore,2005,Developed,82,0,69,1.49,30.2,0.04,0.05,0.04,3.74,29869.85,4265687,5932.81
Singapore,2004,Developed,79.7,0,71,1.45,29.9,0.04,0.04,0.046,3.17,2745.271,4177213,5809.75
Singapore,2003,Developed,79.3,0,73,1.43,29.6,0.04,0.06,0.049,3.63,23573.63,4129225,5743.01
Singapore,2002,Developed,79,0,74,2.16,29.2,0.05,0.04,0.05,2.84,2216.833,4104419,5708.51
Singapore,2001,Developed,78.7,0,76,2.08,28.9,0.05,0.02,0.06,2.37,21577.78,4077145,5670.58
Singapore,2000,Developed,78.3,0,78,2.03,28.5,0.06,0.03,0.07,2.71,23792.68,4028871,5603.44
