Year,Abbreviation,Life
2009,CYP,79.245
2010,CYP,79.43
2011,CYP,79.621
2012,CYP,79.812
2013,CYP,79.999
2014,CYP,80.178
2015,CYP,80.35
2016,CYP,80.513
2017,CYP,80.672
2018,CYP,80.828
2019,CYP,80.982
2020,CYP,81.14
2000,GEO,69.902
2001,GEO,70.065
2002,GEO,70.22
2003,GEO,70.349
2004,GEO,70.451
2005,GEO,70.538
2006,GEO,70.635
2007,GEO,70.765
2008,GEO,70.946
2009,GEO,71.18
2010,GEO,71.46
2011,GEO,71.773
2012,GEO,72.097
2013,GEO,72.412
2014,GEO,72.707
2015,GEO,72.973
2016,GEO,73.207
2017,GEO,73.414
2018,GEO,73.6
2019,GEO,73.767
2020,GEO,73.78
2000,IND,62.505
2001,IND,62.907
2002,IND,63.304
2003,IND,63.699
2004,IND,64.095
2005,IND,64.5
2006,IND,64.918
2007,IND,65.35
2008,IND,65.794
2009,IND,66.244
2010,IND,66.693
2011,IND,67.13
2012,IND,67.545
2013,IND,67.931
2014,IND,68.286
2015,IND,68.607
2016,IND,68.897
2017,IND,69.165
2018,IND,69.416
2019,IND,69.656
2020,IND,69.89
2000,IDN,65.772
2001,IDN,66.037
2002,IDN,66.321
2003,IDN,66.631
2004,IDN,66.969
2005,IDN,67.334
2006,IDN,67.717
2007,IDN,68.105
2008,IDN,68.485
2009,IDN,68.853
2010,IDN,69.205
2011,IDN,69.542
2012,IDN,69.866
2013,IDN,70.179
2014,IDN,70.481
2015,IDN,70.768
2016,IDN,71.035
2017,IDN,71.282
2018,IDN,71.509
2019,IDN,71.716
2020,IDN,71.91
2000,IRN,70.176
2001,IRN,70.553
2002,IRN,70.921
2003,IRN,71.265
2004,IRN,71.592
2005,IRN,71.917
2006,IRN,72.257
2007,IRN,72.626
2008,IRN,73.027
2009,IRN,73.457
2010,IRN,73.905
2011,IRN,74.352
2012,IRN,74.776
2013,IRN,75.162
2014,IRN,75.502
2015,IRN,75.796
2016,IRN,76.047
2017,IRN,76.271
2018,IRN,76.479
2019,IRN,76.677
2020,IRN,76.87
2000,IRQ,68.13
2001,IRQ,68.157
2002,IRQ,68.19
2003,IRQ,68.266
2004,IRQ,68.34
2005,IRQ,68.437
2006,IRQ,68.567
2007,IRQ,68.636
2008,IRQ,68.827
2009,IRQ,68.848
2010,IRQ,68.983
2011,IRQ,69.082
2012,IRQ,69.148
2013,IRQ,69.437
2014,IRQ,69.7
2015,IRQ,69.929
2016,IRQ,70.122
2017,IRQ,70.294
2018,IRQ,70.454
2019,IRQ,70.604
2020,IRQ,70.75
2000,ISR,78.953
2001,ISR,79.407
2002,ISR,79.451
2003,ISR,79.648
2004,ISR,80.146
2005,ISR,80.151
2006,ISR,80.504
2007,ISR,80.553
2008,ISR,80.951
2009,ISR,81.404
2010,ISR,81.602
2011,ISR,81.656
2012,ISR,81.704
2013,ISR,82.051
2014,ISR,82.056
2015,ISR,82.153
2016,ISR,82.407
2017,ISR,82.551
2018,ISR,82.802
2019,ISR,82.804
2020,ISR,83.12
2000,JPN,81.076
2001,JPN,81.417
2002,JPN,81.563
2003,JPN,81.76
2004,JPN,81.925
2005,JPN,82.03
2006,JPN,82.321
2007,JPN,82.507
2008,JPN,82.587
2009,JPN,82.591
2010,JPN,82.842
2011,JPN,82.931
2012,JPN,83.096
2013,JPN,83.331
2014,JPN,83.587
2015,JPN,83.793
2016,JPN,83.984
2017,JPN,84.099
2018,JPN,84.21
2019,JPN,84.356
2020,JPN,84.77
2000,JOR,71.73
2001,JOR,71.907
2002,JOR,72.083
2003,JOR,72.256
2004,JOR,72.427
2005,JOR,72.595
2006,JOR,72.763
2007,JOR,72.931
2008,JOR,73.099
2009,JOR,73.266
2010,JOR,73.428
2011,JOR,73.581
2012,JOR,73.722
2013,JOR,73.851
2014,JOR,73.969
2015,JOR,74.078
2016,JOR,74.184
2017,JOR,74.292
2018,JOR,74.405
2019,JOR,74.526
2020,JOR,74.66
2000,KAZ,65.45
2001,KAZ,65.74
2002,KAZ,65.76
2003,KAZ,65.86
2004,KAZ,65.95
2005,KAZ,66.06
2006,KAZ,66.15
2007,KAZ,66.34
2008,KAZ,67.11
2009,KAZ,68.39
2010,KAZ,68.45
2011,KAZ,68.69
2012,KAZ,69.52
2013,KAZ,70.62
2014,KAZ,71.44
2015,KAZ,71.97
2016,KAZ,72.41
2017,KAZ,72.95
2018,KAZ,73.15
2019,KAZ,73.18
2020,KAZ,73.49
2000,KWT,73.142
2001,KWT,73.21
2002,KWT,73.28
2003,KWT,73.355
2004,KWT,73.439
2005,KWT,73.538
2006,KWT,73.66
2007,KWT,73.807
2008,KWT,73.976
2009,KWT,74.162
2010,KWT,74.358
2011,KWT,74.55
2012,KWT,74.728
2013,KWT,74.885
2014,KWT,75.019
2015,KWT,75.13
2016,KWT,75.224
2017,KWT,75.311
2018,KWT,75.398
2019,KWT,75.489
2020,KWT,75.59
2000,KGZ,67.695
2001,KGZ,67.895
2002,KGZ,67.956
2003,KGZ,68.153
2004,KGZ,68.156
2005,KGZ,68.256
2006,KGZ,68.451
2007,KGZ,68.558
2008,KGZ,68.707
2009,KGZ,69.102
2010,KGZ,69.3
2011,KGZ,69.602
2012,KGZ,70.002
2013,KGZ,70.202
2014,KGZ,70.402
2015,KGZ,70.651
2016,KGZ,70.951
2017,KGZ,71.2
2018,KGZ,71.4
2019,KGZ,71.6
2020,KGZ,71.59
2000,LAO,58.803
2001,LAO,59.372
2002,LAO,59.937
2003,LAO,60.502
2004,LAO,61.065
2005,LAO,61.625
2006,LAO,62.182
2007,LAO,62.731
2008,LAO,63.271
2009,LAO,63.797
2010,LAO,64.306
2011,LAO,64.797
2012,LAO,65.267
2013,LAO,65.717
2014,LAO,66.144
2015,LAO,66.546
2016,LAO,66.924
2017,LAO,67.277
2018,LAO,67.61
2019,LAO,67.923
2020,LAO,68.22
2000,LBN,74.507
2001,LBN,74.999
2002,LBN,75.488
2003,LBN,75.969
2004,LBN,76.432
2005,LBN,76.865
2006,LBN,77.26
2007,LBN,77.609
2008,LBN,77.911
2009,LBN,78.161
2010,LBN,78.36
2011,LBN,78.507
2012,LBN,78.611
2013,LBN,78.683
2014,LBN,78.732
2015,LBN,78.768
2016,LBN,78.8
2017,LBN,78.833
2018,LBN,78.875
2019,LBN,78.93
2020,LBN,79
2000,MYS,72.594
2001,MYS,72.782
2002,MYS,72.976
2003,MYS,73.17
2004,MYS,73.364
2005,MYS,73.555
2006,MYS,73.744
2007,MYS,73.931
2008,MYS,74.118
2009,MYS,74.305
2010,MYS,74.493
2011,MYS,74.683
2012,MYS,74.877
2013,MYS,75.072
2014,MYS,75.268
2015,MYS,75.461
2016,MYS,75.649
2017,MYS,75.828
2018,MYS,75.997
2019,MYS,76.156
2020,MYS,76.31
2000,MDV,70.173
2001,MDV,70.964
2002,MDV,71.708
2003,MDV,72.399
2004,MDV,73.034
2005,MDV,73.612
2006,MDV,74.138
2007,MDV,74.621
2008,MDV,75.073
2009,MDV,75.499
2010,MDV,75.905
2011,MDV,76.293
2012,MDV,76.664
2013,MDV,77.018
2014,MDV,77.36
2015,MDV,77.691
2016,MDV,78.013
2017,MDV,78.325
2018,MDV,78.627
2019,MDV,78.921
2020,MDV,79.21
2000,MNG,62.869
2001,MNG,63.319
2002,MNG,63.777
2003,MNG,64.23
2004,MNG,64.671
2005,MNG,65.103
2006,MNG,65.538
2007,MNG,65.985
2008,MNG,66.447
2009,MNG,66.916
2010,MNG,67.38
2011,MNG,67.818
2012,MNG,68.217
2013,MNG,68.566
2014,MNG,68.863
2015,MNG,69.111
2016,MNG,69.321
2017,MNG,69.509
2018,MNG,69.689
2019,MNG,69.87
2020,MNG,69.94
2000,MMR,60.063
2001,MMR,60.377
2002,MMR,60.685
2003,MMR,60.989
2004,MMR,61.294
2005,MMR,61.607
2006,MMR,61.938
2007,MMR,62.294
2008,MMR,62.678
2009,MMR,63.089
2010,MMR,63.525
2011,MMR,63.983
2012,MMR,64.453
2013,MMR,64.921
2014,MMR,65.378
2015,MMR,65.81
2016,MMR,66.205
2017,MMR,66.558
2018,MMR,66.867
2019,MMR,67.134
2020,MMR,67
2000,NPL,62.288
2001,NPL,62.945
2002,NPL,63.57
2003,NPL,64.165
2004,NPL,64.729
2005,NPL,65.264
2006,NPL,65.773
2007,NPL,66.26
2008,NPL,66.727
2009,NPL,67.178
2010,NPL,67.611
2011,NPL,68.028
2012,NPL,68.426
2013,NPL,68.806
2014,NPL,69.168
2015,NPL,69.515
2016,NPL,69.848
2017,NPL,70.169
2018,NPL,70.478
2019,NPL,70.778
2020,NPL,71.07
2000,PRK,65.268
2001,PRK,66.087
2002,PRK,66.925
2003,PRK,67.615
2004,PRK,68.102
2005,PRK,68.389
2006,PRK,68.54
2007,PRK,68.675
2008,PRK,68.884
2009,PRK,69.185
2010,PRK,69.571
2011,PRK,70.012
2012,PRK,70.454
2013,PRK,70.853
2014,PRK,71.198
2015,PRK,71.481
2016,PRK,71.711
2017,PRK,71.91
2018,PRK,72.095
2019,PRK,72.274
2020,PRK,72
2000,OMN,72.126
2001,OMN,72.58
2002,OMN,73.022
2003,OMN,73.447
2004,OMN,73.851
2005,OMN,74.23
2006,OMN,74.577
2007,OMN,74.893
2008,OMN,75.179
2009,OMN,75.44
2010,OMN,75.682
2011,OMN,75.916
2012,OMN,76.149
2013,OMN,76.388
2014,OMN,76.634
2015,OMN,76.887
2016,OMN,77.142
2017,OMN,77.393
2018,OMN,77.633
2019,OMN,77.861
2020,OMN,78.08
2000,PAK,62.82
2001,PAK,63.066
2002,PAK,63.3
2003,PAK,63.522
2004,PAK,63.736
2005,PAK,63.951
2006,PAK,64.176
2007,PAK,64.42
2008,PAK,64.685
2009,PAK,64.969
2010,PAK,65.264
2011,PAK,65.562
2012,PAK,65.849
2013,PAK,66.117
2014,PAK,66.36
2015,PAK,66.577
2016,PAK,66.77
2017,PAK,66.947
2018,PAK,67.114
2019,PAK,67.273
2020,PAK,67.43
2000,PHL,68.793
2001,PHL,68.835
2002,PHL,68.88
2003,PHL,68.937
2004,PHL,69.013
2005,PHL,69.112
2006,PHL,69.233
2007,PHL,69.37
2008,PHL,69.515
2009,PHL,69.667
2010,PHL,69.823
2011,PHL,69.984
2012,PHL,70.149
2013,PHL,70.315
2014,PHL,70.481
2015,PHL,70.644
2016,PHL,70.802
2017,PHL,70.952
2018,PHL,71.095
2019,PHL,71.231
2020,PHL,71.36
2000,QAT,77.467
2001,QAT,77.612
2002,QAT,77.762
2003,QAT,77.919
2004,QAT,78.083
2005,QAT,78.252
2006,QAT,78.425
2007,QAT,78.601
2008,QAT,78.775
2009,QAT,78.945
2010,QAT,79.108
2011,QAT,79.26
2012,QAT,79.399
2013,QAT,79.527
2014,QAT,79.646
2015,QAT,79.758
2016,QAT,79.868
2017,QAT,79.981
2018,QAT,80.1
2019,QAT,80.227
2020,QAT,80.36
2000,SAU,72.561
2001,SAU,72.759
2002,SAU,72.92
2003,SAU,73.051
2004,SAU,73.159
2005,SAU,73.256
2006,SAU,73.355
2007,SAU,73.467
2008,SAU,73.598
2009,SAU,73.75
2010,SAU,73.917
2011,SAU,74.089
2012,SAU,74.254
2013,SAU,74.402
2014,SAU,74.533
2015,SAU,74.651
2016,SAU,74.761
2017,SAU,74.874
2018,SAU,74.998
2019,SAU,75.133
2020,SAU,75.28
2000,SGP,77.951
2001,SGP,78.251
2002,SGP,78.551
2003,SGP,79.039
2004,SGP,79.49
2005,SGP,79.99
2006,SGP,80.141
2007,SGP,80.441
2008,SGP,80.79
2009,SGP,81.241
2010,SGP,81.541
2011,SGP,81.743
2012,SGP,81.995
2013,SGP,82.246
2014,SGP,82.495
2015,SGP,82.743
2016,SGP,82.846
2017,SGP,83.095
2018,SGP,83.297
2019,SGP,83.497
2020,SGP,83.9
2000,KOR,75.909
2001,KOR,76.412
2002,KOR,76.765
2003,KOR,77.214
2004,KOR,77.665
2005,KOR,78.168
2006,KOR,78.668
2007,KOR,79.119
2008,KOR,79.517
2009,KOR,79.968
2010,KOR,80.117
2011,KOR,80.568
2012,KOR,80.819
2013,KOR,81.27
2014,KOR,81.721
2015,KOR,82.024
2016,KOR,82.275
2017,KOR,82.626
2018,KOR,82.627
2019,KOR,83.226
2020,KOR,83.19
2000,LKA,71.333
2001,LKA,72.233
2002,LKA,73.085
2003,LKA,73.799
2004,LKA,74.337
2005,LKA,74.695
2006,LKA,74.904
2007,LKA,75.037
2008,LKA,75.157
2009,LKA,75.286
2010,LKA,75.439
2011,LKA,75.614
2012,LKA,75.796
2013,LKA,75.974
2014,LKA,76.147
2015,LKA,76.316
2016,LKA,76.482
2017,LKA,76.648
2018,LKA,76.812
2019,LKA,76.978
2020,LKA,77.06
2000,PSE,71.022
2001,PSE,71.239
2002,PSE,71.447
2003,PSE,71.648
2004,PSE,71.842
2005,PSE,72.028
2006,PSE,72.203
2007,PSE,72.366
2008,PSE,72.517
2009,PSE,72.656
2010,PSE,72.788
2011,PSE,72.915
2012,PSE,73.041
2013,PSE,73.17
2014,PSE,73.303
2015,PSE,73.442
2016,PSE,73.589
2017,PSE,73.74
2018,PSE,73.895
2019,PSE,74.053
2020,PSE,74.21
2000,SYR,69.821
2001,SYR,69.908
2002,SYR,70.049
2003,SYR,70.315
2004,SYR,70.55
2005,SYR,70.967
2006,SYR,71.27
2007,SYR,71.779
2008,SYR,72.108
2009,SYR,72.697
2010,SYR,72.938
2011,SYR,73.11
2012,SYR,73.371
2013,SYR,73.647
2014,SYR,73.663
2015,SYR,73.967
2016,SYR,74.152
2017,SYR,74.25
2018,SYR,74.412
2019,SYR,74.43
2020,SYR,73.65
2000,TJK,61.974
2001,TJK,62.807
2002,TJK,63.653
2003,TJK,64.496
2004,TJK,65.314
2005,TJK,66.08
2006,TJK,66.771
2007,TJK,67.382
2008,TJK,67.911
2009,TJK,68.36
2010,TJK,68.736
2011,TJK,69.055
2012,TJK,69.34
2013,TJK,69.609
2014,TJK,69.874
2015,TJK,70.137
2016,TJK,70.397
2017,TJK,70.647
2018,TJK,70.879
2019,TJK,71.097
2020,TJK,71.3
2000,THA,70.623
2001,THA,70.832
2002,THA,71.089
2003,THA,71.389
2004,THA,71.728
2005,THA,72.099
2006,THA,72.499
2007,THA,72.916
2008,THA,73.341
2009,THA,73.766
2010,THA,74.184
2011,THA,74.593
2012,THA,74.992
2013,THA,75.378
2014,THA,75.747
2015,THA,76.091
2016,THA,76.403
2017,THA,76.683
2018,THA,76.931
2019,THA,77.15
2020,THA,77.34
2000,TLS,59.002
2001,TLS,59.945
2002,TLS,60.901
2003,TLS,61.888
2004,TLS,62.893
2005,TLS,63.882
2006,TLS,64.803
2007,TLS,65.61
2008,TLS,66.276
2009,TLS,66.796
2010,TLS,67.186
2011,TLS,67.477
2012,TLS,67.72
2013,TLS,67.953
2014,TLS,68.197
2015,TLS,68.459
2016,TLS,68.735
2017,TLS,69.007
2018,TLS,69.26
2019,TLS,69.495
2020,TLS,69.71
2000,TUR,70.005
2001,TUR,70.56
2002,TUR,71.078
2003,TUR,71.559
2004,TUR,72.004
2005,TUR,72.424
2006,TUR,72.83
2007,TUR,73.235
2008,TUR,73.649
2009,TUR,74.074
2010,TUR,74.507
2011,TUR,74.944
2012,TUR,75.373
2013,TUR,75.784
2014,TUR,76.172
2015,TUR,76.532
2016,TUR,76.86
2017,TUR,77.161
2018,TUR,77.437
2019,TUR,77.691
2020,TUR,77.93
2000,TKM,63.613
2001,TKM,63.842
2002,TKM,64.101
2003,TKM,64.386
2004,TKM,64.693
2005,TKM,65.017
2006,TKM,65.354
2007,TKM,65.695
2008,TKM,66.031
2009,TKM,66.355
2010,TKM,66.657
2011,TKM,66.928
2012,TKM,67.167
2013,TKM,67.375
2014,TKM,67.552
2015,TKM,67.704
2016,TKM,67.835
2017,TKM,67.956
2018,TKM,68.073
2019,TKM,68.191
2020,TKM,68.31
2000,ARE,74.327
2001,ARE,74.544
2002,ARE,74.758
2003,ARE,74.968
2004,ARE,75.174
2005,ARE,75.376
2006,ARE,75.573
2007,ARE,75.767
2008,ARE,75.957
2009,ARE,76.145
2010,ARE,76.332
2011,ARE,76.521
2012,ARE,76.711
2013,ARE,76.903
2014,ARE,77.095
2015,ARE,77.285
2016,ARE,77.47
2017,ARE,77.647
2018,ARE,77.814
2019,ARE,77.972
2020,ARE,78.12
2000,UZB,67.156
2001,UZB,67.374
2002,UZB,67.613
2003,UZB,67.868
2004,UZB,68.135
2005,UZB,68.407
2006,UZB,68.676
2007,UZB,68.939
2008,UZB,69.193
2009,UZB,69.435
2010,UZB,69.672
2011,UZB,69.91
2012,UZB,70.155
2013,UZB,70.41
2014,UZB,70.671
2015,UZB,70.928
2016,UZB,71.171
2017,UZB,71.388
2018,UZB,71.573
2019,UZB,71.725
2020,UZB,71.73
2000,VNM,73.025
2001,VNM,73.228
2002,VNM,73.438
2003,VNM,73.654
2004,VNM,73.875
2005,VNM,74.092
2006,VNM,74.295
2007,VNM,74.474
2008,VNM,74.625
2009,VNM,74.745
2010,VNM,74.837
2011,VNM,74.904
2012,VNM,74.958
2013,VNM,75.006
2014,VNM,75.056
2015,VNM,75.11
2016,VNM,75.172
2017,VNM,75.241
2018,VNM,75.317
2019,VNM,75.4
2020,VNM,75.47
2000,YEM,60.68
2001,YEM,61.216
2002,YEM,61.781
2003,YEM,62.358
2004,YEM,62.931
2005,YEM,63.481
2006,YEM,63.997
2007,YEM,64.47
2008,YEM,64.892
2009,YEM,65.255
2010,YEM,65.549
2011,YEM,65.768
2012,YEM,65.92
2013,YEM,66.016
2014,YEM,66.066
2015,YEM,66.085
2016,YEM,66.086
2017,YEM,66.087
2018,YEM,66.096
2019,YEM,66.125
2020,YEM,66.18
