Country,Year,Status,Life expectancy,under-five deaths,infant deaths,Adult Mortality,Alcohol,BMI,Polio Orig,Polio,Diptheria,,HIV/AIDS,Total expenditure,GDP,Population,Population Density,,,,
Oman,2015,Developing,76.6,1,1,99,0.52,24.6,99,0.01,0.01,100,0.1,3.48,68.42,4267348,110.32,,,99,99
Oman,2014,,76.4,1,1,110,0.4,23.5,99,0.01,0.01,100,0.1,3.19,80.687,4027260,104.08,,,99,98
Oman,2013,,76.2,1,1,121,0.46,22.8,99,0.01,0.02,100,0.1,2.76,78.556,3764806,97.28,,,99,98
Oman,2012,,76,1,1,142,0.51,22.3,99,0.01,0.02,100,0.1,2.52,76.511,3498029,90.4,,,99,99
Oman,2011,,75.8,1,1,153,0.54,22,99,0.01,0.01,100,0.1,2.49,67.872,3251108,84,,,99,99
Oman,2010,,75.6,1,1,163,0.56,21.8,99,0.01,0.01,100,0.1,2.74,56.913,3041434,78.64,,,96,98
Oman,2009,,75.4,1,1,185,0.56,21.5,96,0.04,0.02,100,0.1,2.83,48.388,2876186,74.32,,,97,99
Oman,2008,,75.2,1,1,192,0.57,21.1,97,0.03,0.01,100,0.1,2.1,60.905,2750963,71.12,,,97,99
Oman,2007,,74.9,1,1,113,0.57,20.6,97,0.03,0.01,100,0.1,2.43,42.085,2657158,68.72,,,98,98
Oman,2006,,74.7,1,1,115,0.58,20.1,98,0.02,0.02,100,0.1,2.31,37.216,2580758,66.72,,,99,99
Oman,2005,,74.3,1,1,118,0.63,29.5,99,0.01,0.01,100,0.1,2.59,31.082,2511251,64.88,,,99,99
Oman,2004,,74,1,1,122,0.61,28.9,99,0.01,0.01,100,0.1,2.98,24.764,2445517,63.2,,,99,99
Oman,2003,,73.6,1,1,127,0.56,28.1,99,0.01,0.01,100,0.1,3.17,21.634,2386166,61.68,,,99,99
Oman,2002,,73.3,1,1,137,0.54,27.3,99,0.01,0.01,100,0.1,3.18,20.143,2334858,60.32,,,99,99
Oman,2001,,72.9,1,1,134,0.55,26.5,99,0.01,0.01,100,0.1,3.8,19.452,2294962,59.36,,,99,99
Oman,2000,,72.6,1,1,138,0.38,25.9,99,0.01,0.01,100,0.1,3.7,19.507,2267973,58.64,,,98,98
Republic of Korea,2015,Developing,82.3,2,1,64,9.15,31.7,98,0.02,0.02,100,0.1,7.51,28732.231,50823093,506.41,,,99,99
Republic of Korea,2014,,82,2,1,66,9.21,31.2,99,0.01,0.01,100,0.1,7.37,29249.575,50607907,504.26,,,99,99
Republic of Korea,2013,,81.7,2,1,68,9.33,30.8,99,0.01,0.01,100,0.1,7.2,27182.734,50345717,501.65,,,99,99
Republic of Korea,2012,,81.2,2,1,69,9.56,30.4,99,0.01,0.01,100,0.1,7.1,25466.761,50060639,498.81,,,98,99
Republic of Korea,2011,,81.1,2,2,72,9.34,30,98,0.02,0.01,100,0.1,6.83,25096.264,49786159,496.08,,,95,94
Republic of Korea,2010,,87,2,2,74,9.23,29.5,95,0.05,0.06,100,0.1,6.79,23087.226,49545636,493.68,,,95,94
Republic of Korea,2009,,86,2,2,75,8.97,29.1,95,0.05,0.06,100,0.1,6.66,19143.852,49347461,491.7,,,92,94
Republic of Korea,2008,,83,2,2,75,9.31,28.6,92,0.08,0.06,100,0.1,6.16,21350.428,49182456,490.06,,,91,91
Republic of Korea,2007,,79.8,2,2,77,9.05,28.2,91,0.09,0.09,100,0.1,5.99,24086.41,49034810,488.59,,,98,98
Republic of Korea,2006,,79.4,2,2,79,8.83,27.7,98,0.02,0.02,100,0.1,5.76,21743.477,48880451,487.05,,,96,96
Republic of Korea,2005,,78.7,3,2,84,9.03,27.2,96,0.04,0.04,100,0.1,5.33,19402.503,48701073,485.26,,,95,88
Republic of Korea,2004,,78.2,3,3,89,9.18,26.7,95,0.05,0.12,100,0.1,4.96,16496.12,48493441,483.19,,,94,97
Republic of Korea,2003,,77.6,3,3,95,9.66,26.2,94,0.06,0.03,100,0.1,4.93,14672.857,48260897,480.88,,,99,97
Republic of Korea,2002,,77.1,4,3,99,9.55,25.7,99,0.01,0.03,100,0.1,4.61,13165.066,47999547,478.27,,,99,97
Republic of Korea,2001,,76.7,4,3,107,11.45,25.2,99,0.01,0.03,100,0.1,4.76,11561.248,47706224,475.35,,,99,96
Republic of Korea,2000,,76,4,4,116,10.33,24.7,99,0.01,0.04,100,0.1,4.23,12256.994,47379241,472.09,,,96,96
Singapore,2015,Developed,83.1,0,0,55,1.79,33.2,96,0.04,0.04,100,0.1,5.07,53629.74,5592152,1111.1,,,96,97
Singapore,2014,,82.9,0,0,56,1.83,32.9,96,0.04,0.03,100,0.1,4.92,56336.72,5525626,1097.88,,,97,97
Singapore,2013,,82.7,0,0,57,1.83,32.7,97,0.03,0.03,100,0.1,4.53,5629.189,5453737,1083.6,,,97,96
Singapore,2012,,82.5,0,0,59,1.89,32.4,97,0.03,0.04,100,0.1,4.22,54431.16,5369476,1066.85,,,96,96
Singapore,2011,,82.2,0,0,63,1.8,32.1,96,0.04,0.04,100,0.1,3.93,53166.68,5263636,1045.82,,,96,97
Singapore,2010,,82,0,0,61,1.84,31.8,96,0.04,0.03,100,0.1,3.96,46569.68,5131172,1019.51,,,97,97
Singapore,2009,,81.7,0,0,62,1.73,31.5,97,0.03,0.03,100,0.1,4.27,38577.56,4966614,986.81,,,97,97
Singapore,2008,,81.4,0,0,64,1.7,31.2,97,0.03,0.03,100,0.1,3.91,39721.48,4775804,948.9,,,97,95
Singapore,2007,,81.1,0,0,65,1.6,30.9,97,0.03,0.05,100,0.1,3.46,39223.58,4578630,909.72,,,95,96
Singapore,2006,,87,0,0,66,1.55,30.5,95,0.05,0.04,100,0.1,3.66,33579.86,4402331,874.69,,,96,95
Singapore,2005,,82,0,0,69,1.49,30.2,96,0.04,0.05,100,0.1,3.74,29869.85,4265687,847.54,,,95,96
Singapore,2004,,79.7,0,0,71,1.45,29.9,95,0.05,0.04,100,0.1,3.17,2745.271,4177213,829.96,,,96,94
Singapore,2003,,79.3,0,0,73,1.43,29.6,96,0.04,0.06,100,0.1,3.63,23573.63,4129225,820.43,,,94,96
Singapore,2002,,79,0,0,74,2.16,29.2,94,0.06,0.04,100,0.1,2.84,2216.833,4104419,815.5,,,95,98
Singapore,2001,,78.7,0,0,76,2.08,28.9,95,0.05,0.02,100,0.1,2.37,21577.78,4077145,810.08,,,98,97
Singapore,2000,,78.3,0,0,78,2.03,28.5,98,0.02,0.03,100,0.1,2.71,23792.68,4028871,800.49,,,,
